"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"689","yehnikihlatha̲’","Oneida (Canada)","[sound:Oneida-689.mp3]","drinking mug",,,,,"Oneida_(Canada) Food:_Tableware"
"690","atsí","Oneida (Canada)","[sound:Oneida-690.mp3]","dinner plate",,,,,"Oneida_(Canada) Food:_Tableware"
"691","atokwat","Oneida (Canada)","[sound:Oneida-691.mp3]","spoon",,,,,"Oneida_(Canada) Food:_Tableware"
"692","ashale̲’","Oneida (Canada)","[sound:Oneida-692.mp3]","knife",,,,,"Oneida_(Canada) Food:_Tableware"
"693","ashekwe̲’","Oneida (Canada)","[sound:Oneida-693.mp3]","fork",,,,,"Oneida_(Canada) Food:_Tableware"
"694","yutshokewatha̲’","Oneida (Canada)","[sound:Oneida-694.mp3]","napkin",,,,,"Oneida_(Canada) Food:_Tableware"
"695","yutsholyatha̲’","Oneida (Canada)","[sound:Oneida-695.mp3]","bowl",,,,,"Oneida_(Canada) Food:_Tableware"
"696","Tsha’tekohsélha̲’","Oneida (Canada)","[sound:Oneida-696.mp3]","February (Midwinter)",,,,,"Oneida_(Canada) Time:_Months"
"697","Tewʌhníslya’ks","Oneida (Canada)","[sound:Oneida-697.mp3]","March (the day is cut in two)",,,,,"Oneida_(Canada) Time:_Months"
"698","Wahsakayu:té:se̲’","Oneida (Canada)","[sound:Oneida-698.mp3]","April (it’s thundering)",,,,,"Oneida_(Canada) Time:_Months"
"699","Latiyʌ́thos","Oneida (Canada)","[sound:Oneida-699.mp3]","May (they plant)",,,,,"Oneida_(Canada) Time:_Months"
"700","Awʌhíhte̲’","Oneida (Canada)","[sound:Oneida-700.mp3]","June (strawberries)",,,,,"Oneida_(Canada) Time:_Months"
"701","Ohyótshel̲i̲’","Oneida (Canada)","[sound:Oneida-701.mp3]","July (green beans)",,,,,"Oneida_(Canada) Time:_Months"
"702","Onʌ́stase̲’","Oneida (Canada)","[sound:Oneida-702.mp3]","August (new corn)",,,,,"Oneida_(Canada) Time:_Months"
"703","Yeyʌthókwas","Oneida (Canada)","[sound:Oneida-703.mp3]","September (someone harvests)",,,,,"Oneida_(Canada) Time:_Months"
"704","Yutékhwayʌh̲e̲’","Oneida (Canada)","[sound:Oneida-704.mp3]","October (someone store's food)",,,,,"Oneida_(Canada) Time:_Months"
"705","Tehutʌnuhela:túh̲e̲’","Oneida (Canada)","[sound:Oneida-705.mp3]","November (they give thanks)",,,,,"Oneida_(Canada) Time:_Months"
"706","Wahsu:tés","Oneida (Canada)","[sound:Oneida-706.mp3]","December (it's a long night)",,,,,"Oneida_(Canada) Time:_Months"
"707","Teyakohúhtya'ks","Oneida (Canada)","[sound:Oneida-707.mp3]","January (someone’s ears are freezing)",,,,,"Oneida_(Canada) Time:_Months"
"708","ʌshatshá:tu̲","Oneida (Canada)","[sound:Oneida-708.mp3]","bury it",,,,,"Oneida_(Canada) Commands"
"709","uská","Oneida (Canada)","[sound:Oneida-709.mp3]","one",,,,,"Oneida_(Canada) Numbers"
"710","tékeni̲","Oneida (Canada)","[sound:Oneida-710.mp3]","two",,,,,"Oneida_(Canada) Numbers"
"711","ahsʌ̲́","Oneida (Canada)","[sound:Oneida-711.mp3]","three",,,,,"Oneida_(Canada) Numbers"
"712","kayé:","Oneida (Canada)","[sound:Oneida-712.mp3]","four",,,,,"Oneida_(Canada) Numbers"
"713","wisk","Oneida (Canada)","[sound:Oneida-713.mp3]","five",,,,,"Oneida_(Canada) Numbers"
"714","yá:yak","Oneida (Canada)","[sound:Oneida-714.mp3]","six",,,,,"Oneida_(Canada) Numbers"
"715","tsyá:tak","Oneida (Canada)","[sound:Oneida-715.mp3]","seven",,,,,"Oneida_(Canada) Numbers"
"716","teklu’","Oneida (Canada)","[sound:Oneida-716.mp3]","eight",,,,,"Oneida_(Canada) Numbers"
"717","wá:tlu’","Oneida (Canada)","[sound:Oneida-717.mp3]","nine",,,,,"Oneida_(Canada) Numbers"
"718","oyé:li̲","Oneida (Canada)","[sound:Oneida-718.mp3]","ten",,,,,"Oneida_(Canada) Numbers"
"719","hao satketsko̲","Oneida (Canada)","[sound:Oneida-719.mp3]","come on, get up!",,,,,"Oneida_(Canada) In_The_Morning"
"720","nʌki’ wa’katketsko̲","Oneida (Canada)","[sound:Oneida-720.mp3]","are you up?",,,,,"Oneida_(Canada) In_The_Morning"
"721","hʌ́:ʌ nʌki’ wa’katketsko̲","Oneida (Canada)","[sound:Oneida-721.mp3]","yes, I am up",,,,,"Oneida_(Canada) In_The_Morning"
"722","satslúni ó:nʌ̲","Oneida (Canada)","[sound:Oneida-722.mp3]","you get dressed now",,,,,"Oneida_(Canada) In_The_Morning"
"723","tho ni yót tsi’ satsluni yotholé nu’u:wa̲’","Oneida (Canada)","[sound:Oneida-723.mp3]","you dress warm it’s cold today",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"724","ʌtyatekhunyá:na’ kʌ","Oneida (Canada)","[sound:Oneida-724.mp3]","you and I will eat together",,,,,"Oneida_(Canada) Food"
"725","í:sehle’ kʌ a:shatna’talutʌ swahyó:wane’ wá:yat","Oneida (Canada)","[sound:Oneida-725.mp3]","do you want to bake an apple pie?",,,,,"Oneida_(Canada) Food"
"726","wé:ne ki’ wah","Oneida (Canada)","[sound:Oneida-726.mp3]","I guess so",,,,,"Oneida_(Canada) Yes_and_No"
"727","Thó: nikana’talá:ke̲","Oneida (Canada)","[sound:Oneida-727.mp3]","how many pies?",,,,,"Oneida_(Canada) Food"
"728","Wé:ne kwí: kayé: nikana’talá:ke̲","Oneida (Canada)","[sound:Oneida-728.mp3]","I guess four pies",,,,,"Oneida_(Canada) Food"
"729","Né: kʌ kwahotoku onutakli’ yʌsá:ti̲","Oneida (Canada)","[sound:Oneida-729.mp3]","will you make it with real sugar?",,,,,"Oneida_(Canada) Food"
"730","Né: se’wah","Oneida (Canada)","[sound:Oneida-730.mp3]","sure will",,,,,"Oneida_(Canada) Yes_and_No"
"731","yonuhwélhote’ káhik","Oneida (Canada)","[sound:Oneida-731.mp3]","peach",,,,,"Oneida_(Canada) Food"
"732","káhik","Oneida (Canada)","[sound:Oneida-732.mp3]","fruit",,,,,"Oneida_(Canada) Food"
"733","yeyʌthókwas","Oneida (Canada)","[sound:Oneida-733.mp3]","harvest",,,,,"Oneida_(Canada) Celebrations"
"734","ʌtehsatekhunyá:na kwí: nʌ ʌwatunisán̲e̲’","Oneida (Canada)","[sound:Oneida-734.mp3]","you come over and eat when the corn gets ripe",,,,,"Oneida_(Canada) Plants:_Corn"
"735","né: ki’ ok ní: onʌhakʌ́:lat wakyʌtho̲","Oneida (Canada)","[sound:Oneida-735.mp3]","all I planted is Indian corn",,,,,"Oneida_(Canada) Plants:_Corn"
"736","okni’í:se tetsyalu kʌ sayʌtho̲","Oneida (Canada)","[sound:Oneida-736.mp3]","and did you plant both kinds?",,,,,"Oneida_(Canada) Plants:_Corn"
"737","tetsyalu kwí: wakyʌtho kanʌhʌ:ta’ khále’ onʌhakʌláte̲’","Oneida (Canada)","[sound:Oneida-737.mp3]","I planted both kinds, sweet corn and Indian corn",,,,,"Oneida_(Canada) Plants:_Corn"
"738","nʌ ki’ thoha á:utunisan ka’í:kʌ ó:nʌste̲’","Oneida (Canada)","[sound:Oneida-738.mp3]","the corn is almost ripe",,,,,"Oneida_(Canada) Plants:_Corn"
"739","hʌ́: nok tsi’ yahakwa tewakʌtí:yo̲","Oneida (Canada)","[sound:Oneida-739.mp3]","yes I did but it didn’t come up to good",,,,,"Oneida_(Canada) Plants:_Corn"
"740","tsi' niwakahʌtí:yo ó:nʌste sanʌstayʌtho kʌ ni í:s̲e̲","Oneida (Canada)","[sound:Oneida-740.mp3]","I have a real good crop of corn, did you plant corn?",,,,,"Oneida_(Canada) Plants:_Corn"
"741","kaheló:tu̲","Oneida (Canada)","[sound:Oneida-741.mp3]","rows of corn",,,,,"Oneida_(Canada) Plants:_Corn"
"742","ohel̲a̲","Oneida (Canada)","[sound:Oneida-742.mp3]","corn stalk",,,,,"Oneida_(Canada) Plants:_Corn"
"743","kanʌhʌta̲","Oneida (Canada)","[sound:Oneida-743.mp3]","dried sweet corn",,,,,"Oneida_(Canada) Plants:_Corn"
"744","onʌhakʌ́:late̲’","Oneida (Canada)","[sound:Oneida-744.mp3]","Indian corn",,,,,"Oneida_(Canada) Plants:_Corn"
"745","sayʌ́th̲o̲","Oneida (Canada)","[sound:Oneida-745.mp3]","you have planted",,,,,"Oneida_(Canada) Plants:_Planting"
"746","wakyʌ́tho","Oneida (Canada)","[sound:Oneida-746.mp3]","I have planted",,,,,"Oneida_(Canada) Plants:_Planting"
"747","á:utunisan̲e̲’","Oneida (Canada)","[sound:Oneida-747.mp3]","to mature(or ripen)",,,,,"Oneida_(Canada) Plants:_Planting"
"748","tetsyá:lu̲","Oneida (Canada)","[sound:Oneida-748.mp3]","both",,,,,"Oneida_(Canada) Plants:_Planting"
"749","yahakwa tewakʌtí:yo̲","Oneida (Canada)","[sound:Oneida-749.mp3]","my crop is not very good",,,,,"Oneida_(Canada) Plants:_Planting"
"750","kahʌtí:yo̲","Oneida (Canada)","[sound:Oneida-750.mp3]","a good crop",,,,,"Oneida_(Canada) Plants:_Planting"
"751","onʌstáse̲’","Oneida (Canada)","[sound:Oneida-751.mp3]","green corn",,,,,"Oneida_(Canada) Plants:_Corn"
"752","wé:ni kwí: ʌwatú:kohte’ ʌti","Oneida (Canada)","[sound:Oneida-752.mp3]","I guess this afternoon",,,,,"Oneida_(Canada) Money_and_Shopping"
"753","ʌwá:tu kánke káti’ ʌteskóhn̲a̲","Oneida (Canada)","[sound:Oneida-753.mp3]","yes it is possible, when will you come after it?",,,,,"Oneida_(Canada) Money_and_Shopping"
"754","ʌwá:tu kʌ óstuha akuhní:n̲u̲","Oneida (Canada)","[sound:Oneida-754.mp3]","is it possible to buy some from you?",,,,,"Oneida_(Canada) Money_and_Shopping"
"755","hʌ́: nʌ sok wah","Oneida (Canada)","[sound:Oneida-755.mp3]","yes, they are ripe already",,,,,"Oneida_(Canada) Plants:_Planting"
"756","okna’ kʌ yotunisu","Oneida (Canada)","[sound:Oneida-756.mp3]","is it ripe already?",,,,,"Oneida_(Canada) Plants:_Planting"
"757","nʌ kyále’ yakahéwe’ aetwasahé:taku ohyotshél̲i̲","Oneida (Canada)","[sound:Oneida-757.mp3]","it is time to pick butter beans",,,,,"Oneida_(Canada) Plants:_Planting"
"758","tekahwístake̲’","Oneida (Canada)","[sound:Oneida-758.mp3]","two dollars",,,,,"Oneida_(Canada) Money_and_Shopping"
"759","tekatshé:take̲’","Oneida (Canada)","[sound:Oneida-759.mp3]","two quarts",,,,,"Oneida_(Canada) Money_and_Shopping"
"760","skatshé:tat","Oneida (Canada)","[sound:Oneida-760.mp3]","one quart",,,,,"Oneida_(Canada) Money_and_Shopping"
"761","tó:nikano:l̲u̲","Oneida (Canada)","[sound:Oneida-761.mp3]","how much is it?",,,,,"Oneida_(Canada) Money_and_Shopping"
"762","ʌwá:tu̲","Oneida (Canada)","[sound:Oneida-762.mp3]","yes it is possible",,,,,"Oneida_(Canada) Yes_and_No"
"763","ʌwa:tú: kʌ","Oneida (Canada)","[sound:Oneida-763.mp3]","is it possible?",,,,,"Oneida_(Canada) Yes_and_No"
"764","ʌteskóhn̲a̲’","Oneida (Canada)","[sound:Oneida-764.mp3]","you will come and get it",,,,,"Oneida_(Canada) Money_and_Shopping"
"765","yotunisu","Oneida (Canada)","[sound:Oneida-765.mp3]","it is ripe",,,,,"Oneida_(Canada) Plants:_Planting"
"766","aetwasahé:taku̲","Oneida (Canada)","[sound:Oneida-766.mp3]","to pick beans",,,,,"Oneida_(Canada) Plants:_Planting"
"767","ohyótsheli̲","Oneida (Canada)","[sound:Oneida-767.mp3]","butter beans",,,,,"Oneida_(Canada) Plants:_Planting"
"768","É:lhal khále’ takós ki’ swatyehlʌ kanúsku ni nákehle̲’","Oneida (Canada)","[sound:Oneida-768.mp3]","sometimes the dog and cat live in the house",,,,,"Oneida_(Canada) Animals"
"769","Kátsha’ kayʌ kanúsku kutinakehle̲’","Oneida (Canada)","[sound:Oneida-769.mp3]","which ones live in the house?",,,,,"Oneida_(Canada) Animals"
"770","Otyake’ ki’ kanúsku kutinakehle̲’","Oneida (Canada)","[sound:Oneida-770.mp3]","some live in the house(animals)",,,,,"Oneida_(Canada) Animals"
"771","Kátsha’ káti’ né: nú: nikutinakehle’ nén katshé:nʌ̲:","Oneida (Canada)","[sound:Oneida-771.mp3]","where do the domestic animals live?",,,,,"Oneida_(Canada) Animals"
"772","Kalhaku né: kutinakehle’ nén kutilyó’shuha̲","Oneida (Canada)","[sound:Oneida-772.mp3]","wild animals live in the forest",,,,,"Oneida_(Canada) Hunting"
"773","katshé:nʌ̲","Oneida (Canada)","[sound:Oneida-773.mp3]","domestic animals",,,,,"Oneida_(Canada) Animals"
"774","skʌhnaksʌ̲","Oneida (Canada)","[sound:Oneida-774.mp3]","fox",,,,,"Oneida_(Canada) Hunting"
"775","kutilyo’shúha̲","Oneida (Canada)","[sound:Oneida-775.mp3]","wild animals",,,,,"Oneida_(Canada) Hunting"
"776","ashʌ ki’ né: nahoti’talake nén Onʌyota’á:ka","Oneida (Canada)","[sound:Oneida-776.mp3]","Oneida people have three clans",,,,,"Oneida_(Canada) Clans"
"777","thayú:ni né: na’ako’taló:tʌ nén aksotha̲","Oneida (Canada)","[sound:Oneida-777.mp3]","wolf is my grandmother’s clan",,,,,"Oneida_(Canada) Clans"
"778","náhte’ kati né: na’ako’taló:tʌ nén sahsotha̲","Oneida (Canada)","[sound:Oneida-778.mp3]","what is your grandmother’s clan?",,,,,"Oneida_(Canada) Clans"
"779","a’nó:wal né: naho’taló:tʌ nén lake’niha̲","Oneida (Canada)","[sound:Oneida-779.mp3]","turtle is my fathers clan",,,,,"Oneida_(Canada) Clans"
"780","ok nen ya’niha náhte’ né: naho’taló:tʌ̲’","Oneida (Canada)","[sound:Oneida-780.mp3]","what about your father, what is his clan?",,,,,"Oneida_(Canada) Clans"
"781","Hʌ  ohkwá:li ki’ né: na’ako’taló:tʌ’ nén aknulha","Oneida (Canada)","[sound:Oneida-781.mp3]","yes, my mother’s clan is bear",,,,,"Oneida_(Canada) Clans"
"782","Sanúte’ kʌ náhte’ na’ako’taló:tʌ’ nén sanulha","Oneida (Canada)","[sound:Oneida-782.mp3]","do you know what your mother’s clan is?",,,,,"Oneida_(Canada) Clans"
"783","Teyakohúhtyaks wʌhni’tatati","Oneida (Canada)","[sound:Oneida-783.mp3]","freezing ears month - January",,,,,"Oneida_(Canada) Time:_Months"
"784","á:se yohslá:te̲","Oneida (Canada)","[sound:Oneida-784.mp3]","new year",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"785","í:kelhe’ ashuthu kʌ ʌtutasawʌ̲","Oneida (Canada)","[sound:Oneida-785.mp3]","I thought they start at midnight",,,,,"Oneida_(Canada) Celebrations"
"786","Tah só:tsi’ yata’tusahuleni tsi’ niyolé: ashuthu̲","Oneida (Canada)","[sound:Oneida-786.mp3]","no because it’s not over 'til midnight",,,,,"Oneida_(Canada) Celebrations"
"787","Wahsatlʌnayʌna kʌ nén á:se yohslá:te yo’kalau","Oneida (Canada)","[sound:Oneida-787.mp3]","are you going to church on new year’s eve?",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"788","Hʌ ʌkheyuni ki’ nén kheyuhwátʌha","Oneida (Canada)","[sound:Oneida-788.mp3]","yes, I’m going to make one for my niece",,,,,"Oneida_(Canada) Food:_Doughnuts"
"789","ʌsatú:ni káti kʌ nén oyá:n kaya’tú:ni̲","Oneida (Canada)","[sound:Oneida-789.mp3]","are you going to make a doughnut doll?",,,,,"Oneida_(Canada) Food:_Doughnuts"
"790","hʌ né: ki’ kanutuynúhe̲’","Oneida (Canada)","[sound:Oneida-790.mp3]","yes, I’m thinking about it",,,,,"Oneida_(Canada) Yes_and_No"
"791","satunya:ne’ kʌ nén oyá:n","Oneida (Canada)","[sound:Oneida-791.mp3]","are you going to make doughnuts?",,,,,"Oneida_(Canada) Food:_Doughnuts"
"792","tó:niyohwistaé","Oneida (Canada)","[sound:Oneida-792.mp3]","what time is it?",,,,,"Oneida_(Canada) Time"
"793","wa’yólhʌne̲","Oneida (Canada)","[sound:Oneida-793.mp3]","come morning",,,,,"Oneida_(Canada) Time"
"794","kwahsutati","Oneida (Canada)","[sound:Oneida-794.mp3]","all night",,,,,"Oneida_(Canada) Time"
"795","tayolhʌ’hati","Oneida (Canada)","[sound:Oneida-795.mp3]","coming daylight",,,,,"Oneida_(Canada) Time"
"796","ahsuthu̲","Oneida (Canada)","[sound:Oneida-796.mp3]","midnight",,,,,"Oneida_(Canada) Time"
"797","lutlʌnayʌnese̲’","Oneida (Canada)","[sound:Oneida-797.mp3]","they go to church",,,,,"Oneida_(Canada) Locations"
"798","oyá:n kaya’túni̲","Oneida (Canada)","[sound:Oneida-798.mp3]","doughnut doll",,,,,"Oneida_(Canada) Food:_Doughnuts"
"799","oyá:n","Oneida (Canada)","[sound:Oneida-799.mp3]","doughnut",,,,,"Oneida_(Canada) Food:_Doughnuts"
"800","onhéhta̲","Oneida (Canada)","[sound:Oneida-800.mp3]","porcupine",,,,,"Oneida_(Canada) Animals"
"801","tsyoní:tu̲’","Oneida (Canada)","[sound:Oneida-801.mp3]","beaver",,,,,"Oneida_(Canada) Animals"
"802","oná:kʌt","Oneida (Canada)","[sound:Oneida-802.mp3]","groundhog",,,,,"Oneida_(Canada) Animals"
"803","ska’nyúhsa̲’","Oneida (Canada)","[sound:Oneida-803.mp3]","moose",,,,,"Oneida_(Canada) Animals"
"804","satuhkalyáks kʌh","Oneida (Canada)","[sound:Oneida-804.mp3]","are you hungry?",,,,,"Oneida_(Canada) Food"
"805","hao’ satekhú:ni̲","Oneida (Canada)","[sound:Oneida-805.mp3]","come and eat",,,,,"Oneida_(Canada) Food"
"806","hao’ swatekhú:ni̲","Oneida (Canada)","[sound:Oneida-806.mp3]","all of you come and eat",,,,,"Oneida_(Canada) Food"
"807","náhte’ isle’ asék","Oneida (Canada)","[sound:Oneida-807.mp3]","what do you want to eat?",,,,,"Oneida_(Canada) Food"
"808","náhte’ isle’ asnikí:la̲","Oneida (Canada)","[sound:Oneida-808.mp3]","what do you want to drink?",,,,,"Oneida_(Canada) Food"
"809","isle’ kʌh","Oneida (Canada)","[sound:Oneida-809.mp3]","do you want...?",,,,,"Oneida_(Canada) Misc."
"810","yawʌ’kó:","Oneida (Canada)","[sound:Oneida-810.mp3]","a big thank you",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"811","yó:","Oneida (Canada)","[sound:Oneida-811.mp3]","your welcome",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"812","hʌ́: né: wah","Oneida (Canada)","[sound:Oneida-812.mp3]","yes, that is it",,,,,"Oneida_(Canada) Misc."
"813","tah yah tʌh","Oneida (Canada)","[sound:Oneida-813.mp3]","no, that is not it",,,,,"Oneida_(Canada) Misc."
"814","yah te’ wáki","Oneida (Canada)","[sound:Oneida-814.mp3]","I don’t have any",,,,,"Oneida_(Canada) Misc."
"815","owistohsehl̲e̲","Oneida (Canada)","[sound:Oneida-815.mp3]","butter",,,,,"Oneida_(Canada) Food"
"816","tsyohyó:tsis","Oneida (Canada)","[sound:Oneida-816.mp3]","salt",,,,,"Oneida_(Canada) Food"
"817","onúkwat","Oneida (Canada)","[sound:Oneida-817.mp3]","pepper",,,,,"Oneida_(Canada) Food"
"818","ohnaná:ta̲","Oneida (Canada)","[sound:Oneida-818.mp3]","potato",,,,,"Oneida_(Canada) Food"
"819","o’walu̲’","Oneida (Canada)","[sound:Oneida-819.mp3]","meat",,,,,"Oneida_(Canada) Food"
"820","osahéth̲a̲","Oneida (Canada)","[sound:Oneida-820.mp3]","beans",,,,,"Oneida_(Canada) Food"
"821","onʌste̲’","Oneida (Canada)","[sound:Oneida-821.mp3]","corn",,,,,"Oneida_(Canada) Food"
"822","ohné:kanus","Oneida (Canada)","[sound:Oneida-822.mp3]","water",,,,,"Oneida_(Canada) Food"
"823","ohnuta̲","Oneida (Canada)","[sound:Oneida-823.mp3]","milk",,,,,"Oneida_(Canada) Food"
"824","swahyó:wan̲e̲","Oneida (Canada)","[sound:Oneida-824.mp3]","apple",,,,,"Oneida_(Canada) Food"
"825","tewahyakháni","Oneida (Canada)","[sound:Oneida-825.mp3]","tomato",,,,,"Oneida_(Canada) Food"
"826","á:nuk","Oneida (Canada)","[sound:Oneida-826.mp3]","onion",,,,,"Oneida_(Canada) Food"
"827","wá:yat","Oneida (Canada)","[sound:Oneida-827.mp3]","pie",,,,,"Oneida_(Canada) Food"
"828","kaná:talok","Oneida (Canada)","[sound:Oneida-828.mp3]","(store bought) bread",,,,,"Oneida_(Canada) Food"
"829","kakhwa’shúh̲a̲","Oneida (Canada)","[sound:Oneida-829.mp3]","foods",,,,,"Oneida_(Canada) Food"
"830","yaweku kʌh","Oneida (Canada)","[sound:Oneida-830.mp3]","does it taste good?",,,,,"Oneida_(Canada) Food"
"831","katsi’nkwalahu:tsi","Oneida (Canada)","[sound:Oneida-831.mp3]","orange",,,,,"Oneida_(Canada) Food"
"832","satla’swiyóhak","Oneida (Canada)","[sound:Oneida-832.mp3]","good luck!",,,,,"Oneida_(Canada) Sports"
"833","wáhse̲","Oneida (Canada)","[sound:Oneida-833.mp3]","go on",,,,,"Oneida_(Canada) Commands"
"834","waski’wáh","Oneida (Canada)","[sound:Oneida-834.mp3]","go on then",,,,,"Oneida_(Canada) Commands"
"835","satkátho̲","Oneida (Canada)","[sound:Oneida-835.mp3]","(you) look!",,,,,"Oneida_(Canada) Commands"
"836","tas thí:kʌ̲","Oneida (Canada)","[sound:Oneida-836.mp3]","hand me that",,,,,"Oneida_(Canada) Commands"
"837","satkʌ́:lat","Oneida (Canada)","[sound:Oneida-837.mp3]","stop it! or let go!",,,,,"Oneida_(Canada) Commands"
"838","tákʌ’ tʌhsaláhtat","Oneida (Canada)","[sound:Oneida-838.mp3]","don’t run",,,,,"Oneida_(Canada) Commands"
"839","oskanʌ’shuha̲","Oneida (Canada)","[sound:Oneida-839.mp3]","slowly",,,,,"Oneida_(Canada) Commands"
"840","atsyók","Oneida (Canada)","[sound:Oneida-840.mp3]","after while",,,,,"Oneida_(Canada) Commands"
"841","satnútut","Oneida (Canada)","[sound:Oneida-841.mp3]","you wait",,,,,"Oneida_(Canada) Commands"
"842","tesaslíhʌ̲","Oneida (Canada)","[sound:Oneida-842.mp3]","hurry up",,,,,"Oneida_(Canada) Commands"
"843","hanyo hanyo","Oneida (Canada)","[sound:Oneida-843.mp3]","hurry hurry",,,,,"Oneida_(Canada) Commands"
"844","kanto se:sek","Oneida (Canada)","[sound:Oneida-844.mp3]","you stay here",,,,,"Oneida_(Canada) Commands"
"845","isi’ sátkwit","Oneida (Canada)","[sound:Oneida-845.mp3]","you move over",,,,,"Oneida_(Canada) Commands"
"846","tetsya’nyanawʌ́ksi̲","Oneida (Canada)","[sound:Oneida-846.mp3]","you two take your mittens off",,,,,"Oneida_(Canada) Clothes"
"847","tehsa’nyanawʌ́ksi̲","Oneida (Canada)","[sound:Oneida-847.mp3]","take your mittens off",,,,,"Oneida_(Canada) Clothes"
"848","tsyana’alolóksi̲","Oneida (Canada)","[sound:Oneida-848.mp3]","you two take your hat off",,,,,"Oneida_(Canada) Clothes"
"849","sana’alolóksi̲","Oneida (Canada)","[sound:Oneida-849.mp3]","take your hat off",,,,,"Oneida_(Canada) Clothes"
"850","tsyatya’tawi’tási̲","Oneida (Canada)","[sound:Oneida-850.mp3]","you two take your coat, dress, or shirt off",,,,,"Oneida_(Canada) Clothes"
"851","satya’tawi’tási̲","Oneida (Canada)","[sound:Oneida-851.mp3]","take you coat, dress, or shirt off",,,,,"Oneida_(Canada) Clothes"
"852","tetsyalahtáhsi̲","Oneida (Canada)","[sound:Oneida-852.mp3]","you two take your shoes off",,,,,"Oneida_(Canada) Clothes"
"853","tehsalahtáhsi̲","Oneida (Canada)","[sound:Oneida-853.mp3]","take your shoes off",,,,,"Oneida_(Canada) Clothes"
"854","tetsyalatahkwanétasi̲","Oneida (Canada)","[sound:Oneida-854.mp3]","you two take your boots off",,,,,"Oneida_(Canada) Clothes"
"855","tehsalahtahkwanétasi̲","Oneida (Canada)","[sound:Oneida-855.mp3]","take you boots off",,,,,"Oneida_(Canada) Clothes"
"856","tutatsyatayat ó:nʌ̲","Oneida (Canada)","[sound:Oneida-856.mp3]","you two come back in now",,,,,"Oneida_(Canada) In_The_Morning"
"857","tutasatayat ó:nʌ̲","Oneida (Canada)","[sound:Oneida-857.mp3]","you come back in now",,,,,"Oneida_(Canada) In_The_Morning"
"858","wale:lú̲","Oneida (Canada)","[sound:Oneida-858.mp3]","frog",,,,,"Oneida_(Canada) Animals"
"859","ohna’kwalohsa’kó:","Oneida (Canada)","[sound:Oneida-859.mp3]","elephant",,,,,"Oneida_(Canada) Animals"
"860","tsikawihsakíh̲a̲’","Oneida (Canada)","[sound:Oneida-860.mp3]","monkey",,,,,"Oneida_(Canada) Animals"
"861","aní:tas","Oneida (Canada)","[sound:Oneida-861.mp3]","skunk",,,,,"Oneida_(Canada) Animals"
"862","kwalo:lú̲","Oneida (Canada)","[sound:Oneida-862.mp3]","owl",,,,,"Oneida_(Canada) Animals"
"863","atú:nyote̲’","Oneida (Canada)","[sound:Oneida-863.mp3]","eagle",,,,,"Oneida_(Canada) Animals"
"864","ʌti:lu̲","Oneida (Canada)","[sound:Oneida-864.mp3]","raccoon",,,,,"Oneida_(Canada) Animals"
"865","ótku̲’","Oneida (Canada)","[sound:Oneida-865.mp3]","snake",,,,,"Oneida_(Canada) Animals"
"866","otsi’no:wʌ̲","Oneida (Canada)","[sound:Oneida-866.mp3]","mouse",,,,,"Oneida_(Canada) Animals"
"867","tsi’kwilʌ́:tu̲","Oneida (Canada)","[sound:Oneida-867.mp3]","squirrel",,,,,"Oneida_(Canada) Animals"
"868","kohsa:tʌ́s","Oneida (Canada)","[sound:Oneida-868.mp3]","horse",,,,,"Oneida_(Canada) Animals"
"869","othahyu:ní̲","Oneida (Canada)","[sound:Oneida-869.mp3]","wolf",,,,,"Oneida_(Canada) Animals"
"870","kʌ́tsi","Oneida (Canada)","[sound:Oneida-870.mp3]","fish",,,,,"Oneida_(Canada) Animals"
"871","é:lhal","Oneida (Canada)","[sound:Oneida-871.mp3]","dog",,,,,"Oneida_(Canada) Animals"
"872","tsiskó:ko’","Oneida (Canada)","[sound:Oneida-872.mp3]","robin",,,,,"Oneida_(Canada) Animals"
"873","kwa’yʌ́h̲a̲","Oneida (Canada)","[sound:Oneida-873.mp3]","rabbit",,,,,"Oneida_(Canada) Animals"
"874","takós","Oneida (Canada)","[sound:Oneida-874.mp3]","cat",,,,,"Oneida_(Canada) Animals"
"875","oskanu:tú̲:","Oneida (Canada)","[sound:Oneida-875.mp3]","deer",,,,,"Oneida_(Canada) Animals"
"876","ohkwa:lí̲","Oneida (Canada)","[sound:Oneida-876.mp3]","bear",,,,,"Oneida_(Canada) Animals"
"877","tsyatsyóhal","Oneida (Canada)","[sound:Oneida-877.mp3]","you two wash your face",,,,,"Oneida_(Canada) In_The_Morning"
"878","sahtsyóhal","Oneida (Canada)","[sound:Oneida-878.mp3]","wash your hands",,,,,"Oneida_(Canada) In_The_Morning"
"879","tsyatnawilóhal","Oneida (Canada)","[sound:Oneida-879.mp3]","you two brush your teeth",,,,,"Oneida_(Canada) In_The_Morning"
"880","satnawilóhal","Oneida (Canada)","[sound:Oneida-880.mp3]","brush your teeth",,,,,"Oneida_(Canada) In_The_Morning"
